mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.12911	0.05953	0.08559	0.50381	0.22196
V113	0.16965	0.07174	0.08473	0.15676	0.51712
V114	0.44413	0.13877	0.04845	0.22979	0.13886
V115	0.67314	0.12666	0.01363	0.05576	0.13081
V116	0.00281	0.034	0.00555	0.02607	0.93157
V117	0.04503	0.22134	0.58006	0.12132	0.03225
V118	0.02882	0.02658	0.00565	0.90914	0.02981
V119	0.24861	0.14916	0.29475	0.30087	0.00661
V120	0.0121	0.21306	0.58298	0.14975	0.0421
V121	0.20664	0.612	0.01348	0.05906	0.10882
V122	0.02424	0.27709	0.08049	0.30661	0.31157
V123	0.37223	0.11376	0.067	0.23577	0.21124
V124	0.15687	0.11697	0.0549	0.24705	0.4242
V125	0.04066	0.45752	0.44095	0.04569	0.01518
V126	0.11999	0.18618	0.18276	0.14065	0.37042
V127	0.21998	0.19827	0.47537	0.0929	0.01348
V128	0.2267	0.66608	0.02342	0.0515	0.0323
V129	0.19803	0.12471	0.2127	0.20426	0.2603
V130	0.02166	0.36262	0.04543	0.32326	0.24704
V131	0.01146	0.07371	0.16853	0.73778	0.00852
V132	0.26167	0.06701	0.00576	0.37729	0.28827
V133	0.0043	0.16626	0.41281	0.10305	0.31358
V134	0.06118	0.21905	0.56663	0.05282	0.10031
V135	0.02271	0.24527	0.54349	0.05367	0.13486
V136	0.75747	0.14921	0.01587	0.05714	0.02031
V137	0.70302	0.1523	0.0146	0.08521	0.04488
V138	0.18598	0.14393	0.0697	0.15874	0.44165
V139	0.0886	0.0636	0.1201	0.71119	0.01652
V140	0.0154	0.06016	0.11608	0.02038	0.78798
V141	0.01969	0.30658	0.50696	0.15232	0.01445
V142	0.15477	0.11045	0.25108	0.14987	0.33383
V143	0.01665	0.2379	0.3858	0.18686	0.17278
V144	0.41664	0.22698	0.06699	0.18395	0.10545
V145	0.00577	0.25758	0.66483	0.04796	0.02385
V146	0.02272	0.22649	0.01358	0.3886	0.34861
V147	0.08093	0.22044	0.50471	0.15205	0.04188
V148	0.17059	0.67282	0.02331	0.1009	0.03238
V149	0.00552	0.0239	0.00576	0.90638	0.05844
V150	0.1251	0.28613	0.4626	0.03044	0.09572
V151	0.32215	0.07539	0.01696	0.45809	0.12741
V152	0.01083	0.04342	0.08711	0.77615	0.08249
V153	0.14213	0.24499	0.36817	0.08486	0.15985
V154	0.1084	0.45703	0.03291	0.0687	0.33297
V155	0.02658	0.05465	0.10096	0.80007	0.01774
V156	0.07349	0.12834	0.30161	0.17003	0.32653
V157	0.06461	0.08829	0.1301	0.2889	0.42809
V158	0.14815	0.13516	0.3321	0.06642	0.31817
V159	0.08746	0.15889	0.01885	0.68796	0.04684
V160	0.36244	0.18763	0.08559	0.07792	0.28641
V161	0.14962	0.07087	0.05136	0.02389	0.70426
V162	0.00638	0.27117	0.68738	0.0305	0.00457
V163	0.0322	0.0383	0.01674	0.04912	0.86365
V164	0.73238	0.17203	0.02171	0.06327	0.01061
V165	0.50757	0.24208	0.08081	0.10546	0.06408
V166	0.04003	0.07384	0.17835	0.61857	0.08921
V167	0.02995	0.4905	0.02627	0.21757	0.23571
V168	0.00638	0.27117	0.68738	0.0305	0.00457
V169	0.05481	0.57804	0.17339	0.16435	0.02942
V170	0.21178	0.30287	0.05825	0.27666	0.15044
V171	0.24009	0.1779	0.28451	0.23585	0.06166
V172	0.13753	0.18322	0.0646	0.04371	0.57094
V173	0.15899	0.11698	0.07745	0.45715	0.18943
V174	0.15829	0.1154	0.2687	0.23291	0.2247
V175	0.05364	0.13226	0.09861	0.19519	0.5203
V176	0.27317	0.0664	0.01148	0.63917	0.00977
V177	0.15694	0.18233	0.41701	0.22977	0.01395
V178	0.21651	0.17294	0.34916	0.161	0.10039
V179	0.06303	0.04529	0.01076	0.02395	0.85698
V180	0.01624	0.10682	0.2527	0.02034	0.6039
V181	0.04415	0.18578	0.00675	0.07188	0.69144
V182	0.46857	0.22578	0.01413	0.23629	0.05523
V183	0.07962	0.8268	0.01756	0.05493	0.02109
V184	0.23924	0.12112	0.22903	0.37808	0.03253
V185	0.08801	0.35176	0.02988	0.2096	0.32074
V186	0.09883	0.14016	0.03014	0.2823	0.44857
V187	0.07704	0.5344	0.01206	0.35744	0.01906
V188	0.64705	0.14714	0.03733	0.15089	0.01759
V189	0.37263	0.22382	0.03995	0.34658	0.01702
V190	0.31835	0.151	0.17579	0.04664	0.30822
V191	0.17084	0.17163	0.01269	0.50523	0.13962
V192	0.25546	0.19266	0.11286	0.27715	0.16187
V193	0.06047	0.26272	0.419	0.07412	0.18369
V194	0.1909	0.09635	0.07325	0.12307	0.51643
V195	0.47759	0.24842	0.20055	0.05814	0.01529
V196	0.00187	0.03905	0.04736	0.04817	0.86355
V197	0.07563	0.78016	0.01652	0.10721	0.02048
V198	0.17999	0.18287	0.03826	0.25165	0.34724
V199	0.60519	0.16931	0.17426	0.04361	0.00764
V200	0.5846	0.11242	0.03467	0.06413	0.20418
V201	0.02538	0.02626	0.02225	0.72838	0.19773
V202	0.73321	0.17345	0.00995	0.06378	0.0196
V203	0.44903	0.24341	0.03334	0.10472	0.16949
V204	0.24984	0.1095	0.03447	0.02813	0.57806
V205	0.07839	0.07729	0.09181	0.08057	0.67195
V206	0.03126	0.07736	0.0059	0.83792	0.04756
V207	0.01415	0.03488	0.00586	0.92405	0.02107
V208	0.13524	0.27179	0.38765	0.08735	0.11797
V209	0.10789	0.07267	0.07692	0.0462	0.69633
V210	0.00575	0.26042	0.68029	0.03923	0.01431
V211	0.11068	0.09447	0.15596	0.04631	0.59258
V212	0.06091	0.64348	0.09384	0.10477	0.09701
V213	0.06931	0.04397	0.05129	0.25804	0.5774
V214	0.02559	0.50735	0.37001	0.05814	0.03891
V215	0.19855	0.20592	0.11938	0.11522	0.36093
V216	0.03978	0.11557	0.24543	0.05376	0.54546
V217	0.00458	0.02387	0.0235	0.8535	0.09455
V218	0.05908	0.19214	0.23366	0.40803	0.10709
V219	0.11161	0.27808	0.32214	0.27317	0.01499
V220	0.20946	0.63638	0.07523	0.06048	0.01846
V221	0.03386	0.16286	0.37149	0.03057	0.40122
V222	0.0101	0.03547	0.01128	0.03348	0.90968
V223	0.40405	0.15128	0.24175	0.17994	0.02298
V224	0.03293	0.39866	0.03132	0.13098	0.40611
V225	0.59278	0.2348	0.11125	0.04492	0.01624
V226	0.45833	0.45887	0.01251	0.05156	0.01872
V227	0.07258	0.18148	0.01302	0.68526	0.04766
V228	0.45154	0.16113	0.21297	0.12419	0.05017
V229	0.24241	0.37126	0.23973	0.0992	0.04741
V230	0.00991	0.0308	0.01129	0.03382	0.91418
V231	0.05829	0.46879	0.06676	0.2783	0.12787
V232	0.6252	0.16472	0.14967	0.05245	0.00795
V233	0.03866	0.07307	0.11255	0.09847	0.67725
V234	0.01634	0.29697	0.18952	0.45993	0.03723
V235	0.74719	0.14915	0.00992	0.08227	0.01147
V236	0.06782	0.17328	0.46075	0.238	0.06015
