mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.25522	0.22631	0.25596	0.16932	0.0932
V2	0.05156	0.66519	0.12886	0.10266	0.05172
V3	0.05992	0.14617	0.39739	0.37526	0.02126
V4	0.01493	0.187	0.24307	0.11109	0.4439
V5	0.02354	0.16788	0.08797	0.15828	0.56233
V6	0.26138	0.15302	0.26714	0.23929	0.07917
V7	0.00864	0.20312	0.39474	0.11818	0.27533
V8	0.01018	0.19115	0.69849	0.10017	0
V9	0.05951	0.11207	0.25878	0.54021	0.02943
V10	0.34482	0.17164	0.41069	0.05633	0.01652
V11	0.03723	0.18573	0.12753	0.12574	0.52377
V12	0.074	0.15318	0.22467	0.30518	0.24297
V13	0.11972	0.15433	0.06861	0.40685	0.2505
V14	0.14401	0.09629	0.1001	0.57009	0.08951
V15	0.04618	0.08454	0.03823	0.77398	0.05706
V16	0.44089	0.14807	0.05584	0.32302	0.03219
V17	0.06351	0.33401	0.05873	0.11776	0.42599
V18	0.07323	0.40604	0.27778	0.21969	0.02325
V19	0.03645	0.16961	0.03416	0.17462	0.58516
V20	0.00499	0.16635	0.60425	0.21878	0.00563
V21	0.02244	0.33286	0.16481	0.19485	0.28503
V22	0.60704	0.17171	0.10882	0.07717	0.03526
V23	0.07586	0.17149	0.05289	0.18575	0.51401
V24	0.36816	0.22127	0.06041	0.11075	0.2394
V25	0.0354	0.14587	0.04607	0.4184	0.35426
V26	0.37262	0.27242	0.10231	0.1021	0.15055
V27	0.10164	0.48412	0.22451	0.06292	0.12681
V28	0.03783	0.15721	0.21457	0.54174	0.04865
V29	0.01689	0.11346	0.31673	0.52118	0.03174
V30	0.5544	0.19121	0.07333	0.09667	0.08439
V31	0.33842	0.21566	0.0546	0.25464	0.13668
V32	0.68598	0.11	0.0577	0.09209	0.05424
V33	0.02839	0.29751	0.05613	0.16672	0.45126
V34	0.10617	0.70254	0.09389	0.06805	0.02935
V35	0.07914	0.54	0.29116	0.07518	0.01453
V36	0.02782	0.28732	0.19274	0.13842	0.3537
V37	0.57528	0.12341	0.04136	0.09532	0.16464
V38	0.09778	0.17549	0.42394	0.20964	0.09315
V39	0.25515	0.18565	0.31456	0.07276	0.17188
V40	0.18797	0.53362	0.08645	0.14452	0.04745
V41	0.0484	0.71607	0.09798	0.06327	0.07428
V42	0.6422	0.13895	0.0677	0.0901	0.06105
V43	0.35596	0.2232	0.32812	0.08001	0.01271
V44	0.02722	0.35026	0.5029	0.05345	0.06616
V45	0.03764	0.58257	0.15841	0.17005	0.05132
V46	0.09876	0.6435	0.1424	0.08093	0.03441
V47	0.00293	0.19805	0.75011	0.04892	0
V48	0.13807	0.21757	0.22951	0.31537	0.09948
V49	0.34965	0.22345	0.23509	0.17071	0.0211
V50	0.01794	0.20623	0.73045	0.04537	0
