cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V137	0.63322	0.05458	0.25444	0.05775
V138	0.21846	0.39847	0.19217	0.19091
V139	0.3463	0.2068	0.21276	0.23414
V140	0.04433	0.10648	0.10482	0.74437
V141	0.07259	0.14334	0.55187	0.2322
V142	0.72671	0.05317	0.2139	0.00622
V143	0.42332	0.26655	0.08514	0.22499
V144	0.16017	0.15063	0.19509	0.4941
V145	0.03501	0.72718	0.22681	0.011
V146	0.07091	0.05246	0.09403	0.7826
V147	0.8686	0.06067	0.04047	0.03026
V148	0.12808	0.07184	0.58987	0.21021
V149	0.26788	0.50693	0.21938	0.00581
V150	0.09748	0.22754	0.59434	0.08064
V151	0.21781	0.62308	0.04881	0.1103
V152	0.24095	0.44452	0.2264	0.08813
V153	0.12743	0.73586	0.03667	0.10004
V154	0.24842	0.45203	0.2721	0.02746
V155	0.46616	0.15027	0.29597	0.0876
V156	0.04734	0.12824	0.6934	0.13102
V157	0.29842	0.15609	0.32941	0.21609
V158	0.04706	0.04893	0.10627	0.79773
V159	0.83977	0.10121	0.0209	0.03813
V160	0.66102	0.02996	0.08554	0.22348
V161	0.1899	0.04146	0.08254	0.6861
V162	0.07742	0.28462	0.11504	0.52291
V163	0.11291	0.481	0.18344	0.22266
V164	0.33716	0.30934	0.12333	0.23017
V165	0.03484	0.26078	0.05421	0.65017
V166	0.02823	0.11441	0.12039	0.73697
V167	0.30972	0.03451	0.05551	0.60026
V168	0.29107	0.57261	0.08962	0.0467
V169	0.17141	0.07404	0.08557	0.66899
V170	0.10502	0.03167	0.52939	0.33392
V171	0.13836	0.23141	0.58473	0.0455
V172	0.67691	0.0388	0.27429	0.01
V173	0.04387	0.15213	0.09228	0.71171
V174	0.03462	0.16549	0.12025	0.67965
V175	0.07487	0.02613	0.76668	0.13232
V176	0.04398	0.77308	0.17392	0.00902
V177	0.05456	0.89769	0.03087	0.01689
V178	0.03889	0.73491	0.03054	0.19565
V179	0.15236	0.0251	0.39601	0.42653
V180	0.06961	0.82884	0.09816	0.00339
V181	0.1636	0.12696	0.55166	0.15779
V182	0.29687	0.18133	0.46442	0.05738
V183	0.19647	0.76816	0.03052	0.00486
V184	0.86941	0.0687	0.05472	0.00717
V185	0.54397	0.42067	0.03298	0.00239
V186	0.1339	0.47558	0.27076	0.11976
V187	0.87721	0.05875	0.05678	0.00727
V188	0.07281	0.23124	0.05107	0.64487
V189	0.78227	0.05	0.03698	0.13076
V190	0.62297	0.04434	0.32251	0.01019
V191	0.18907	0.2013	0.56518	0.04445
V192	0.30396	0.46895	0.0654	0.16169
V193	0.58614	0.05094	0.24934	0.11358
V194	0.07191	0.87648	0.03187	0.01974
V195	0.04658	0.06216	0.85637	0.03489
V196	0.03289	0.11328	0.0774	0.77644
V197	0.37447	0.06896	0.06213	0.49444
V198	0.08385	0.4919	0.36767	0.05657
V199	0.15169	0.04432	0.20634	0.59765
V200	0.14362	0.55165	0.04098	0.26375
V201	0.11467	0.54865	0.19912	0.13757
V202	0.03287	0.03347	0.7541	0.17956
V203	0.17388	0.41995	0.38221	0.02397
V204	0.03493	0.50679	0.04206	0.41622
V205	0.04645	0.07524	0.84128	0.03703
V206	0.07079	0.10685	0.79519	0.02718
V207	0.13089	0.18888	0.09308	0.58715
V208	0.24564	0.07876	0.64995	0.02564
V209	0.30506	0.47078	0.08206	0.1421
V210	0.10843	0.74941	0.10144	0.04072
V211	0.3789	0.03974	0.07185	0.50951
V212	0.4856	0.05972	0.43001	0.02467
V213	0.61279	0.05059	0.12822	0.2084
V214	0.31749	0.16332	0.1867	0.33249
V215	0.26312	0.1107	0.06033	0.56585
V216	0.06588	0.04706	0.09619	0.79088
V217	0.06353	0.4788	0.24382	0.21385
V218	0.11171	0.4356	0.18576	0.26693
V219	0.12539	0.6226	0.03261	0.21941
V220	0.04183	0.79361	0.0299	0.13467
V221	0.76851	0.03782	0.02656	0.16711
V222	0.3086	0.13704	0.38024	0.17412
V223	0.02698	0.1334	0.75309	0.08653
V224	0.86516	0.06505	0.06341	0.00638
V225	0.08738	0.83123	0.07549	0.00591
V226	0.2985	0.09508	0.58362	0.0228
V227	0.74668	0.0366	0.20309	0.01363
V228	0.75278	0.08877	0.08022	0.07822
