Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V121	0.29457	0.5888	0	0	0.11663
V122	0.07996	0.36892	0.0733	0.25168	0.22615
V123	0.56595	0.0159	0.05221	0.20405	0.16189
V124	0.26678	0.1226	0.04542	0.29294	0.27226
V125	0.09491	0.37138	0.46308	0	0.07063
V126	0.20837	0.19132	0.20728	0.16218	0.23084
V127	0.32882	0.00124	0.58989	0.01837	0.06167
V128	0.30437	0.60832	0	0	0.08731
V129	0.32142	0.0423	0.24732	0.20341	0.18554
V130	0.08819	0.46157	0.02794	0.22016	0.20215
V131	0.01733	0.00474	0.20647	0.63324	0.13821
V132	0.40631	0	0	0.37227	0.22142
V133	0.00673	0.09506	0.54703	0.13829	0.21289
V134	0.09148	0.05168	0.73301	0.01865	0.10517
V135	0.04034	0.11879	0.69097	0.02543	0.12447
V136	0.94101	0	0	0	0.05899
V137	0.91625	0	0	0.00879	0.07496
V138	0.31315	0.15032	0.06528	0.20546	0.26579
V139	0.13872	0	0.12349	0.6058	0.13199
V140	0.02224	0.08427	0.17799	0.24162	0.47388
V141	0.04667	0.19995	0.60806	0.05894	0.08637
V142	0.25884	0.02071	0.31754	0.18676	0.21616
V143	0.0433	0.19638	0.46236	0.14382	0.15415
V144	0.58838	0.15662	0.04498	0.09593	0.11408
V145	0.00418	0.05228	0.85362	0.00443	0.08549
V146	0.07483	0.3273	0	0.34258	0.25529
V147	0.12543	0.07396	0.63493	0.07912	0.08656
V148	0.25512	0.64093	0	0	0.10394
V149	0.00712	0	0	0.79795	0.19493
V150	0.19514	0.17007	0.54471	0	0.09009
V151	0.47752	0	0	0.37326	0.14922
V152	0.01555	0	0.09357	0.70735	0.18353
V153	0.22765	0.16905	0.43026	0.04304	0.13
V154	0.20447	0.53805	0.01373	0.03562	0.20812
V155	0.04254	0	0.10738	0.69923	0.15085
V156	0.12451	0.062	0.38802	0.2055	0.21997
V157	0.11488	0.07786	0.15993	0.3602	0.28714
V158	0.24245	0.02639	0.43386	0.0978	0.1995
V159	0.15729	0.17355	0	0.51998	0.14918
V160	0.54397	0.13136	0.07669	0.06949	0.17848
V161	0.26421	0.07457	0.06059	0.19308	0.40755
V162	0.00582	0.04976	0.8688	0	0.07561
V163	0.05181	0.09334	0.02213	0.30437	0.52835
V164	0.9386	0	0	0	0.0614
V165	0.68756	0.14114	0.06115	0.02084	0.0893
V166	0.06528	0.00293	0.21679	0.55433	0.16067
V167	0.11185	0.57845	0.00624	0.11335	0.19011
V168	0.00582	0.04976	0.8688	0	0.07561
V169	0.13842	0.58534	0.14492	0.01774	0.11358
V170	0.3271	0.32374	0.03342	0.16578	0.14997
V171	0.37338	0.0595	0.32452	0.14711	0.09549
V172	0.24382	0.24427	0.06534	0.13007	0.3165
V173	0.26287	0.09023	0.06562	0.39787	0.18341
V174	0.25796	0.01046	0.33237	0.22598	0.17322
V175	0.10561	0.18015	0.11446	0.28044	0.31934
V176	0.397	0	0	0.4898	0.1132
V177	0.23919	0.02883	0.51968	0.13678	0.07552
V178	0.33984	0.0341	0.42063	0.10101	0.10443
V179	0.10869	0.09533	0.01047	0.26892	0.51659
V180	0.02572	0.08862	0.3672	0.16121	0.35725
V181	0.10333	0.31079	0	0.19991	0.38597
V182	0.63877	0.14126	0	0.11989	0.10008
V183	0.16735	0.7351	0.00023	0	0.09733
V184	0.3715	0	0.25624	0.27757	0.0947
V185	0.17554	0.44272	0.00808	0.15623	0.21743
V186	0.18166	0.19349	0.01185	0.32472	0.28828
V187	0.16497	0.56957	0	0.13897	0.12648
V188	0.878	0	0.00032	0.0539	0.06778
V189	0.53407	0.16586	0.00985	0.19468	0.09554
V190	0.49678	0.05798	0.20171	0.05826	0.18528
V191	0.27579	0.16879	0	0.38782	0.16759
V192	0.39471	0.15429	0.10215	0.20119	0.14766
V193	0.11032	0.20282	0.49895	0.04346	0.14445
V194	0.3258	0.07579	0.07686	0.21559	0.30597
V195	0.64623	0.10009	0.20323	0	0.05045
V196	0	0.08819	0.07634	0.30712	0.52834
V197	0.16562	0.72472	0	0	0.10966
V198	0.2966	0.21058	0.01678	0.2436	0.23244
V199	0.80227	0	0.16354	0	0.03419
V200	0.82135	0	0	0.04188	0.13677
V201	0.04201	0.00251	0.00603	0.70998	0.23948
V202	0.93325	0	0	0	0.06675
V203	0.62043	0.18809	0.00758	0.04885	0.13505
V204	0.41938	0.09851	0.02506	0.1333	0.32375
V205	0.14119	0.09335	0.12036	0.24685	0.39825
V206	0.06127	0.0641	0	0.7024	0.17223
V207	0.0255	0.00027	0	0.79736	0.17686
V208	0.21705	0.19356	0.44636	0.0291	0.11394
V209	0.19572	0.08127	0.09989	0.21729	0.40583
V210	0.00312	0.04432	0.87022	0	0.08235
V211	0.19571	0.07514	0.20837	0.17583	0.34495
V212	0.15105	0.65051	0.06745	0	0.13099
V213	0.11945	0.04255	0.05716	0.4053	0.37554
V214	0.08794	0.46007	0.36378	0	0.08821
V215	0.32331	0.21053	0.12257	0.1239	0.21969
V216	0.07041	0.09609	0.33985	0.17016	0.32349
V217	0.00527	0	0.00991	0.77905	0.20577
V218	0.1106	0.1741	0.25992	0.31136	0.14402
V219	0.18623	0.22698	0.35074	0.14512	0.09093
V220	0.29147	0.5842	0.04364	0	0.0807
V221	0.06119	0.10726	0.50003	0.089	0.24251
