Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V73	0.04017	0.00202	0.02777	0	0.91453	0.01552	0	0	0	0
V74	0.0081	0.0192	0.06829	0.24902	0.09107	0.03417	0	0.01639	0	0.51374
V75	0.02154	0.09019	0.14722	0.50557	0.00477	0.01878	0.00191	0.01612	0.19389	0
V76	0	0.01139	0	0.00077	0	0.89908	0.05895	0.02039	0.00555	0.00386
V77	0	0.05202	0	0.34921	0	0.34171	0.22411	0.02577	0.00718	0
V78	0.01294	0.45581	0.04286	0	0.13991	0.06339	0.22454	0.01622	0	0.04434
V79	0.00959	0.04521	0.01569	0.34236	0	0.27434	0.0226	0.0073	0.27488	0.00802
V80	0.46418	0.01556	0.00837	0	0.05707	0	0.02036	0.00217	0.07236	0.35993
V81	0.00494	0.01112	0	0.18385	0.17012	0.59199	0.02758	0.0104	0	0
V82	0.06393	0.41579	0.02166	0.28465	0.12117	0.00978	0	0.08302	0	0
V83	0.0378	0.05218	0.02064	0.5604	0	0	0	0.32898	0	0
V84	0.02687	0.03542	0.00665	0.02772	0.0964	0.60589	0.1766	0.0221	0.0013	0.00104
V85	0.25582	0	0.53318	0	0.01356	0	0	0	0	0.19744
V86	0.30137	0.00166	0.2892	0.38367	0	0.01827	0	0.00583	0	0
V87	0.02331	0.069	0.01619	0.01779	0.02137	0	0.00262	0	0.84972	0
V88	0.00987	0.29193	0.02562	0.58511	0.06166	0.01172	0.00619	0.0079	0	0
V89	0	0.10758	0	0.01878	0	0.1428	0.52998	0.16238	0.03849	0
V90	0.03972	0.05877	0.49459	0	0.07556	0.00924	0	0	0	0.32213
V91	0.09095	0	0.90389	0	0	0	0	0.00515	0	0
V92	0	0.12537	0	0	0	0.16252	0.5659	0.03765	0.10856	0
V93	0.02048	0.10031	0.06738	0	0	0.0396	0.16259	0.02798	0.58167	0
V94	0.91021	0	0	0	0	0.0326	0.00583	0.05135	0	0
V95	0.00847	0.08124	0	0	0	0.0906	0.36426	0.43949	0.01594	0
V96	0.04343	0.11348	0.35149	0.4253	0	0.02522	0.00039	0.02903	0.01166	0
V97	0	0.11852	0	0	0	0.1504	0.56488	0.03954	0.06034	0.06633
V98	0.01501	0.23327	0.03491	0.05555	0.28939	0.0144	0.01863	0.12497	0.14394	0.06992
V99	0.59244	0.01494	0	0	0	0.01241	0.05163	0.00942	0.31916	0
V100	0.19758	0.0298	0.01149	0.24986	0.00263	0.33569	0.02689	0.00855	0.13359	0.00392
V101	0	0.04429	0.03816	0	0.08266	0.11389	0.12751	0.07019	0	0.52329
V102	0.05182	0.19108	0	0	0.1341	0.34371	0.10538	0.16483	0	0.00909
V103	0.08444	0.05231	0.01426	0.01388	0	0	0.0023	0.00196	0.83085	0
V104	0.08882	0	0.89337	0	0	0	0	0	0.01781	0
V105	0.34498	0	0.07251	0	0	0.11263	0	0.46988	0	0
V106	0.04075	0.54384	0.22779	0	0.17771	0.0099	0	0	0	0
V107	0.27562	0.15352	0.01166	0	0.37869	0.01203	0	0.04618	0.1223	0
V108	0	0.00994	0.0206	0.19038	0.03872	0.43739	0.0188	0.04289	0	0.24128
V109	0.00038	0.0319	0	0.00929	0	0.86278	0.05978	0.01972	0.01069	0.00545
V110	0.02201	0	0.02224	0	0.87894	0	0	0.0768	0	0
V111	0.00227	0.14021	0	0	0.03627	0.15225	0.56554	0.04072	0.05834	0.0044
