Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V124	0	0	0.32629	0.00456	0.66915	0
V125	0	0.12739	0.69919	0.08402	0	0.0894
V126	0	0.19527	0	0	0	0.80473
V127	0.02628	0	0.84384	0.12988	0	0
V128	0.40568	0.2321	0.08961	0.23966	0.03295	0
V129	0	0.00957	0.88365	0.10352	0	0.00326
V130	0.58897	0.08495	0	0.32608	0	0
V131	0.00241	0	0	0.00964	0.80148	0.18647
V132	0	0.50033	0.49362	0.00543	0.00062	0
V133	0.03161	0.18098	0.64388	0.13625	0.0067	0.00058
V134	0.16412	0.75426	0	0.01603	0.06558	0
V135	0.02482	0.0059	0.7919	0.00718	0.01504	0.15517
V136	0.01928	0.86992	0.07249	0.0383	0	0
V137	0	0.1582	0.64643	0.03173	0.16365	0
V138	0.01163	0	0	0.50563	0.02181	0.46093
V139	0	0.03426	0.12493	0.00325	0.44903	0.38854
V140	0.70105	0.19034	0.00949	0.09913	0	0
V141	0.27973	0.23544	0.11014	0.3747	0	0
V142	0.04428	0.81262	0	0.08855	0	0.05455
V143	0.05436	0.05614	0.68257	0.11796	0.06158	0.02738
V144	0	0.12409	0	0.14943	0	0.72648
V145	0	0	0	1	0	0
V146	0.15637	0.00666	0.03585	0	0.742	0.05912
V147	0.52733	0.05987	0.07444	0.05288	0	0.28547
V148	0	0.15956	0.83325	0	0	0.00719
V149	0	0.44433	0	0.01139	0	0.54428
V150	0	0	0	1	0	0
V151	0	0.35284	0	0	0	0.64716
V152	0.00848	0.22414	0.5025	0.06056	0.10204	0.10228
V153	0	0.02459	0.64653	0.32888	0	0
V154	0.46556	0.16321	0	0	0	0.37123
V155	0	0.38311	0.06285	0	0.46134	0.0927
V156	0	0.50494	0	0	0.49506	0
V157	0	0.07326	0	0.35442	0	0.57232
V158	0	0.04905	0.94012	0	0	0.01083
V159	0.1449	0.20761	0.36361	0.25477	0	0.0291
V160	0	0	0.90627	0.0074	0	0.08632
V161	0	0.47756	0	0.48813	0.03431	0
V162	0	0.60465	0	0.19712	0.19823	0
V163	0	0	0.98645	0	0	0.01355
V164	0	0.34073	0.43636	0.17617	0.03966	0.00708
V165	0.00402	0.01732	0	0.01109	0.82431	0.14325
V166	0	0	0	0.18896	0.43636	0.37467
V167	0	0	0.40579	0.59421	0	0
V168	0.71069	0.00546	0	0.28385	0	0
V169	0	0.00537	0.71446	0.26277	0	0.01741
V170	0.47872	0.02807	0.07321	0.38816	0.03184	0
V171	0.00013	0.46155	0	0	0	0.53832
V172	0.02762	0.05849	0.55124	0.22766	0	0.13499
V173	0	0.00427	0.82778	0	0	0.16795
V174	0.71138	0.09068	0	0.00451	0.19343	0
V175	0	0.80374	0.14363	0.03847	0.01416	0
V176	0	0	0.98269	0.01731	0	0
V177	0.0978	0.07085	0.34744	0.04187	0.14436	0.29768
V178	0.01217	0.04041	0	0	0.93494	0.01248
V179	0	0	0.01383	0.7677	0.04305	0.17542
V180	0.28279	0	0.15978	0.47966	0	0.07777
V181	0.67287	0.09792	0.02946	0.09743	0.04553	0.05678
V182	0	0.07297	0.81099	0.08707	0	0.02897
V183	0	0	0	1	0	0
V184	0.45299	0.39719	0	0.04088	0.10894	0
V185	0.00519	0.61825	0	0.01336	0.11304	0.25017
V186	0	0	0.60003	0.39997	0	0
V187	0.30416	0.53096	0	0.02719	0.13769	0
V188	0	0.64275	0	0.01891	0	0.33835
V189	0	0.05947	0.16638	0.03256	0.56769	0.1739
V190	0	0.15794	0	0.01125	0.61117	0.21964
V191	0	0.58946	0	0	0	0.41054
V192	0.64432	0.20928	0.0671	0.03994	0.03936	0
V193	0	0.06208	0	0	0	0.93792
V194	0.00108	0.02068	0	0.15398	0.81193	0.01232
V195	0	0	0.77902	0.14041	0.08057	0
V196	0	0	0.00635	0.99365	0	0
V197	0.26115	0	0	0	0.73885	0
V198	0.09636	0.41755	0.00874	0.24062	0.2213	0.01543
V199	0	0.2286	0.08987	0.15501	0.52264	0.00388
V200	0.02465	0.00365	0.56887	0.28856	0	0.11428
V201	0.0065	0	0	0.98853	0	0.00497
V202	0.00742	0.05325	0.46317	0.05789	0.10826	0.31
V203	0.59793	0.0017	0	0.40037	0	0
V204	0	0.02917	0	0.18897	0	0.78187
V205	0	0.01061	0.96555	0.02383	0	0
V206	0	0.03285	0.08979	0.87735	0	0
V207	0.49188	0.16245	0.00503	0.3406	0	3e-05
V208	0.42293	0.07826	0.4079	0.06887	0.02203	0
V209	0.24704	0.50214	0	0.03797	0	0.21286
V210	0.10771	0.0132	0.87909	0	0	0
V211	0.68329	0.02686	0.07234	0.00762	0.14734	0.06255
V212	0	0.23741	0.21074	0.5399	0	0.01195
V213	0.03119	0.06899	0.29489	0.03409	0.57084	0
V214	0.90064	0.00094	0	0.07497	0.02345	0
V215	0	0.68906	0	0.03228	0	0.27866
V216	0.08154	0.55375	0.35755	0.00716	0	0
V217	0.16787	0	0	0.12232	0.24919	0.46062
V218	0.0129	0.26955	0	0.71755	0	0
